任务编号,任务名称,任务说明,前置依赖
T01,实现附件对象统一数据模型,统一定义危险区、潜力区、预飞航线版本对象在附件模块中的通用字段结构,无
T02,实现对象展示名称生成规则,实现对象名称标准化输出；预飞航线按“飞行方案+版本号+方案版本名称”生成，危险区/潜力区直接使用对象名称,T01
T08,实现左侧对象列表查询,拉取预飞航线和战术图层列表中的可展示对象,"T01,T02"
T05,实现附件快照模型,发送时固化对象快照，保证已发送附件不受发送方后续修改、删除影响,"T01,T02"
T09,实现对象拖拽资格校验,处理草稿状态、已删除、无权限对象不可拖拽的场景,T08
T06,实现错误码与提示文案表,收敛“对象信息不完整”“当前会话不支持该对象发送”“已达最大附件数量上限”等提示,T01
T04,实现聊天消息类型模型,定义 TEXT、ATTACHMENT、SYSTEM 三类消息结构,T01
T07,实现附件操作日志模型,记录加入待发送区、删除附件、发送成功/失败、录入成功/失败、下载成功/失败等日志,"T01,T03"
T03,实现附件状态枚举,定义待发送、已发送、已接收、已录入系统、已下载、发送失败、录入失败、下载失败等状态,T01
T18,实现待发送附件数量上限校验,限制一次最多添加 5 个附件，超出提示“已达最大附件数量上限”,"T15,T16"
T11,实现长按进入拖动状态,用户长按对象达到阈值后进入拖动态,T10
T14,处理拖入非接收区域松手场景,对象拖到非可接收区域后松手时，不加入待发送区,T12
T17,处理重复拖入同一对象场景,同一对象重复拖入时不重复加入，并提示“该附件已加入待发送区”,T16
T13,实现会话接收区域高亮,拖拽对象进入右侧对话框可接收区域时，高亮接收态,T12
T10,实现对象列表项渲染,在左侧列表展示对象名称、缩略图、所属飞行架次等信息,"T08,T02"
T16,实现拖入成功后新增待发送附件记录,对象拖入成功后，向待发送附件集合新增一条记录,"T13,T15"
T20,处理附件名称过长截断场景,对象名称超过 20 字符时截断显示，悬浮展示完整名称,T19
T12,实现列表项影子态跟随拖动,拖动过程中以原列表项影子态跟随鼠标/手指移动，不生成额外悬浮卡片,T11
T19,实现待发送附件 chips 渲染,在输入区域上方渲染附件 chips，展示缩略图、对象名称、删除叉号,T16
T15,实现会话级待发送附件集合,在当前会话输入上下文维护待发送附件集合，不写入正式聊天记录,"T01,T03"
T22,实现删除待发送附件功能,点击 chips 叉号后，从待发送附件集合中移除对应附件,T19
T24,实现推荐话语生成规则,根据当前待发送附件对象类型生成推荐性快捷话语,"T16,T02"
T32,实现发送提交流程,提交当前待发送附件和输入框文本，生成一次发送批次,"T31,T28"
T25,处理单附件推荐话语生成场景,只有一个附件时，围绕该对象生成推荐语,T24
T21,处理缩略图缺失场景,缩略图不存在时使用默认占位图,T19
T23,处理待发送附件清空场景,删除最后一个附件后隐藏 chips 区，回到普通文本输入状态,T22
T28,实现点击推荐语追加到输入框,点击推荐语后，将文案追加到现有输入内容后,T27
T27,实现推荐话语悬浮 chips 渲染,在对话框顶部上方展示推荐语 chips,T24
T29,处理无附件时隐藏推荐语场景,当前没有待发送附件时不展示推荐语区域,"T23,T27"
T31,实现发送前附件有效性二次校验,发送前重新校验对象是否已删除、失效或数据异常,"T15,T16,T06"
T26,处理多附件推荐话语优先级场景,有多个附件时，优先按第一个对象生成推荐语,T24
T30,处理推荐语生成失败兜底场景,推荐语加载失败时不影响附件发送主流程,T24
T39,处理附件与文本部分成功/失败场景,处理“附件成功文本失败”“文本成功附件失败”两种混合场景，并给出明确反馈,"T33,T34,T36"
T41,实现附件消息卡片组件,渲染附件类型、对象名称、所属飞行架次、操作按钮,"T33,T40"
T35,实现同次发送顺序控制,同时有附件和文本时，先插入附件消息，再插入文本消息；两者属于同一次发送,"T33,T34"
T42,实现战术图层附件按钮配置,危险区、潜力区附件卡片只展示“录入”按钮,T41
T36,处理发送失败保留待发送区场景,附件发送失败时不清空待发送区，支持重试,"T33,T06"
T38,处理仅文本发送场景,无附件时按普通文本消息发送,T34
T40,实现聊天流消息类型分发,根据 TEXT、ATTACHMENT、SYSTEM 分发不同气泡组件,T04
T33,实现附件消息落库,每个附件单独生成一条附件消息,"T32,T04,T05"
T37,处理仅附件发送场景,无文本时只生成附件消息,T33
T43,实现预飞航线附件按钮配置,预飞航线附件卡片展示“录入”“下载”两个按钮,T41
T34,实现文本消息独立落库,输入框有文本时生成独立文本消息，不与附件共用消息体,"T32,T04"
T46,处理战术图层重复录入场景,已录入对象再次点击录入时提示“该附件已录入系统”,T45
T52,处理录入异常场景,处理对象失效、数据异常、版本冲突、飞行方案自动创建失败等录入失败场景,"T45,T47,T48,T06"
T50,实现首个航线版本生成规则,自动新建飞行方案后，将录入航线作为第一个版本，版本名称取对象名称,"T48,T02"
T54,处理录入失败后保留附件卡片场景,录入失败时附件卡片不消失，支持问题修复后再次执行录入,T52
T48,处理未绑定飞行方案自动新建场景,未绑定当前飞行方案时，自动新建飞行方案并完成绑定,T47
T51,实现预飞航线下载功能,为预飞航线附件提供下载能力,T43
T53,处理下载失败重试场景,下载失败时提示失败原因，并允许再次下载,"T51,T06"
T47,实现预飞航线录入到当前飞行方案,已绑定当前飞行方案时，将录入航线作为该方案下最新版本写入，并保留历史版本,"T43,T05"
T55,实现发送方发送成功系统消息,发送附件后生成“已成功发送<附件类型><对象名称>至<接收方>”系统消息,"T33,T02"
T49,实现新建飞行方案命名规则,自动创建的飞行方案名称取对象名称,"T48,T02"
T44,实现附件卡片状态展示,根据已发送、已录入、已下载、失败等状态更新按钮和角标,"T03,T41"
T45,实现战术图层录入功能,将危险区/潜力区录入接收方战术图层管理体系，并保留来源会话、发送方、录入人等信息,"T42,T05"
T60,处理多附件逐对象生成系统消息场景,一次发送多个附件时，每个对象分别生成系统消息，不合并成模糊提示,T55
T59,实现发送方对方已下载同步消息,接收方下载成功后，发送方生成“对方已成功下载预飞航线<对象名称>”消息,T58
T64,实现聊天流状态回补,接收方客户端未及时同步状态时，重新进入会话后由服务端回补最新状态,"T62,T40"
T57,实现发送方对方已录入同步消息,接收方录入成功后，发送方生成“对方已成功录入<附件类型><对象名称>”消息,T56
T58,实现接收方下载成功系统消息,预飞航线下载成功后生成“预飞航线<对象名称>已成功下载”系统消息,T51
T63,实现附件按钮状态机,根据状态渲染正常可点、loading、置灰、已录入等按钮态,"T62,T44"
T56,实现接收方录入成功系统消息,录入成功后生成“<附件类型><对象名称>已成功录入系统”系统消息,"T45,T47"
T61,处理只下载未录入消息分流场景,对方只下载未录入时，只生成下载类系统消息，不误写为已录入,"T58,T59"
T62,实现附件状态流转引擎,实现待发送→已发送→已接收→已录入系统/已下载及失败态流转,"T03,T33,T45,T51"
T66,实现失败态重试机制,支持发送失败、录入失败、下载失败后的重试操作,"T36,T52,T53,T62"
T65,实现基于快照的附件重建,聊天流重载时，根据发送时快照恢复附件卡片，而不是回查发送方实时对象,"T05,T41"